Mine_Name,Latitude,Longitude,State,District,Coalfield,Subsidiary,Mine_Type,Production,Year
Jogidih,23.8087,86.26037,Jharkhand,DHANBAD,Jharia,BCCL,UG,0.013,2024-25
"Junad,",20.0438,79.0679,Maharashtra,YAVATMAL,Wardha Valley,WCL,OC,0.464,2024-25
Kalidaspur Project,23.5939,87.0365,West Bengal,BANKURA,Raniganj,ECL,UG,0.075,2024-25
Kanchan OC,23.3419,80.8626,Madhya Pradesh,UMARIA,Central India,SECL,OC,0.908,2024-25
Kankanee,23.775,86.3417,Jharkhand,DHANBAD,Jharia,BCCL,OC,0.334,2024-25
Kapasara,23.7585,86.7545,Jharkhand,DHANBAD,Mugma/Salanpur,ECL,OC,0.04,2024-25
Karma,23.6505,85.5659,Jharkhand,RAMGARH,W.Bokaro,CCL,OC,0.861,2024-25
Katkona 1 & 2,23.3596,82.6808,Chhattisgarh,KOREA,Central India,SECL,UG,0.216,2024-25
Kedla UG,23.803,85.5951,Jharkhand,RAMGARH,W.Bokaro,CCL,UG,0.0,2024-25
Ketki,23.1385,82.8786,Chhattisgarh,SURGUJA,Central India,SECL,UG,0.028,2024-25
Khairaha,23.1543,81.4589,Madhya Pradesh,SHAHDOL,Central India,SECL,UG,0.877,2024-25
Khoodia,23.7738,86.7297,Jharkhand,DHANBAD,Mugma/Salanpur,ECL,UG,0.025,2024-25
Kistaram OC,17.2265,80.7865,Telangana,KHAMMAM,Godavari Valley,SCCL,OC,2.4,2024-25
"Kolarpimpri,",20.0833,79.0333,Maharashtra,YAVATMAL,Wardha Valley,WCL,OC,1.5,2024-25
Kumda 7 & 8,23.2074,83.0056,Chhattisgarh,SURGUJA,Central India,SECL,UG,0.011,2024-25
Lakhimata,23.7729,86.7314,Jharkhand,DHANBAD,Mugma/Salanpur,ECL,UG,0.059,2024-25
Madhaipur,23.7037,87.3467,West Bengal,Bardhaman,Raniganj,ECL,Mixed,0.036,2024-25
Maheshpur,23.7864,86.2556,Jharkhand,DHANBAD,Jharia,BCCL,UG,0.029,2024-25
Manikpur,22.3208,82.725,Chhattisgarh,KORBA,Central India,SECL,OC,5.25,2024-25
Manna Incline,19.9132,79.3019,Maharashtra,CHANDRAPUR,Wardha,WCL,UG,0.0,2024-25
Mathani,22.2389,78.9311,Madhya Pradesh,CHHINDWARA,Pench & Kanhan,WCL,UG,0.091,2024-25
Meera,23.1863,81.9797,Madhya Pradesh,SHAHDOL,Central India,SECL,UG,0.076,2024-25
Mohan (Mohan UG),22.1793326984003,78.6775923587742,Madhya Pradesh,CHHINDWARA,Pench & Kanhan,WCL,Mixed,0.038,2024-25
Mohanpur (Expn),23.7867,86.951,West Bengal,Bardhaman,Mugma/Salanpur,ECL,OC,2.0,2024-25
New Sethia,22.2153,78.8501,Madhya Pradesh,CHHINDWARA,Pench & Kanhan,WCL,OC,0.0,2024-25
Nichitpur,23.7917,86.3444,Jharkhand,DHANBAD,Jharia,BCCL,OC,1.794,2024-25
Ningah Colliery,23.6743,87.0333,West Bengal,Bardhaman,Raniganj,ECL,UG,0.017,2024-25
Nirsha,23.7873,86.7058,Jharkhand,DHANBAD,Mugma/Salanpur,ECL,OC,0.147,2024-25
Nowrozabad (W),23.3588,80.989,Madhya Pradesh,UMARIA,Central India,SECL,UG,0.098,2024-25
"Pimpalgaon,",20.0458,79.0417,Maharashtra,YAVATMAL,Wardha Valley,WCL,OC,0.0,2024-25
Piparia,23.5238,80.8622,Madhya Pradesh,UMARIA,Central India,SECL,UG,0.081,2024-25
Pundi,23.8236,85.5218,Jharkhand,RAMGARH,W.Bokaro,CCL,OC,0.0,2024-25
Purnadih,23.7083,84.9861,Jharkhand,RANCHI,N.K.Coalfields,CCL,OC,0.589,2024-25
Rajendra,23.1531,81.491,Madhya Pradesh,SHAHDOL,Central India,SECL,UG,0.158,2024-25
Rajhara,24.1642,84.0465,Jharkhand,PALAMU,N.K.Coalfields,CCL,OC,0.0,2024-25
Rajnagar RO,23.1897,82.132,Madhya Pradesh,SHAHDOL,Central India,SECL,UG,0.13,2024-25
Rajpura,23.7586,86.7731,Jharkhand,DHANBAD,Mugma/Salanpur,ECL,OC,0.076,2024-25
Raniatari,22.8647,82.2989,Chhattisgarh,KOREA,Central India,SECL,UG,0.48,2024-25
Rehar,23.1063,82.9368,Chhattisgarh,SURGUJA,Central India,SECL,UG,0.031,2024-25
Religara,23.8617,85.5569,Jharkhand,HAZARIBAGH,S.K.Coalfields,CCL,OC,0.499,2024-25
Rohini,23.6917,84.9903,Jharkhand,RANCHI,N.K.Coalfields,CCL,OC,0.039,2024-25
Satgram Incline,23.6827,87.0703,West Bengal,Bardhaman,Raniganj,ECL,UG,0.032,2024-25
Satgram Project,23.6471,87.1594,West Bengal,Bardhaman,Raniganj,ECL,UG,0.03,2024-25
Saunda (Ncdc),23.6625,85.3347,Jharkhand,RAMGARH,S.K.Coalfields,CCL,UG,0.0,2024-25
Sendra Bansjora,23.7875,86.3472,Jharkhand,DHANBAD,Jharia,BCCL,OC,0.601,2024-25
Sharda Highwall,23.2084,81.5896,Madhya Pradesh,SHAHDOL,Central India,SECL,UG,0.711,2024-25
Silewara Colliery,21.2990356958441,79.1234184722817,Maharashtra,NAGPUR,Kamptee/Silewara,WCL,UG,0.069,2024-25
Sirka,23.7507,85.5833,Jharkhand,RAMGARH,S.K.Coalfields,CCL,OC,0.116,2024-25
Talaipalli Coal Mine,22.1765,83.3551,Chhattisgarh,RAIGARH,Mand-Raigarh,NTPC,OC,7.543,2024-25
Tandsi,22.1857,78.3235,Madhya Pradesh,CHHINDWARA,Pench & Kanhan,WCL,UG,0.036,2024-25
Tapin South,23.8329,85.4729,Jharkhand,HAZARIBAGH,W.Bokaro,CCL,OC,1.43,2024-25
Tarmi,23.7681,85.5542,Jharkhand,BOKARO,E. Bokaro,CCL,OC,0.283,2024-25
Tawa-II,22.1542,78.1917,Madhya Pradesh,BETUL,Pathakhera,WCL,UG,0.415,2024-25
Tetaria Khar,23.809,84.8458,Jharkhand,LATEHAR,N.K.Coalfields,CCL,OC,1.032,2024-25
Tetulmari,23.8034,86.345,Jharkhand,DHANBAD,Jharia,BCCL,OC,0.318,2024-25
Umaria,23.525,80.8333,Madhya Pradesh,UMARIA,Central India,SECL,UG,0.117,2024-25
Urdhan,22.2786,78.9578,Madhya Pradesh,CHHINDWARA,Pench & Kanhan,WCL,OC,0.7,2024-25
Urimari,23.6939,85.3108,Jharkhand,HAZARIBAGH,S.K.Coalfields,CCL,UG,0.0,2024-25
Urimari,23.6939,85.3108,Jharkhand,HAZARIBAGH,S.K.Coalfields,CCL,OC,0.791,2024-25
Vijay West,22.8542,82.3211,Chhattisgarh,KORBA,Central India,SECL,UG,0.5,2024-25
Vindhya,23.3356,80.9058,Madhya Pradesh,UMARIA,Central India,SECL,UG,0.465,2024-25
Vishnupuri-II,22.199,78.8626,Madhya Pradesh,CHHINDWARA,Pench & Kanhan,WCL,UG,0.085,2024-25
Amalgamated Gondegaon Ghatrohana,21.2662973097932,79.1924247571361,Maharashtra,NAGPUR,Kamptee/Silewara,WCL,OC,3.501,2024-25
Ballarpur OCM,19.8336,79.3452,Maharashtra,CHANDRAPUR,Wardha,WCL,OC,0.625,2024-25
Basdeopur,23.725,86.3625,Jharkhand,DHANBAD,Jharia,BCCL,OC,0.14,2024-25
Hindustan Lalpeth OC,19.9278,79.3119,Maharashtra,CHANDRAPUR,Wardha,WCL,OC,1.0,2024-25
Khairagura OC,19.2458,79.2854,Telangana,Komaram Bheem,Godavari Valley,SCCL,OC,3.749,2024-25
Kharkharee,23.7773,86.2391,Jharkhand,DHANBAD,Jharia,BCCL,UG,0.005,2024-25
Saraipali,22.3731657585543,82.322829992396,Chhattisgarh,KORBA,Central India,SECL,UG,1.68,2024-25
